image,mask
cvc-612_428.bmp,cvc-612_428.tif
cvc-612_283.bmp,cvc-612_283.tif
cvc-612_535.bmp,cvc-612_535.tif
cvc-300_22.bmp,cvc-300_22.bmp
cvc-612_459.bmp,cvc-612_459.tif
cvc-612_482.bmp,cvc-612_482.tif
cvc-300_62.bmp,cvc-300_62.bmp
cvc-612_545.bmp,cvc-612_545.tif
cvc-612_597.bmp,cvc-612_597.tif
cvc-612_481.bmp,cvc-612_481.tif
cvc-300_270.bmp,cvc-300_270.bmp
cvc-300_129.bmp,cvc-300_129.bmp
cvc-612_49.bmp,cvc-612_49.tif
cvc-612_553.bmp,cvc-612_553.tif
cvc-612_444.bmp,cvc-612_444.tif
cvc-612_592.bmp,cvc-612_592.tif
cvc-612_577.bmp,cvc-612_577.tif
cvc-300_17.bmp,cvc-300_17.bmp
cvc-612_465.bmp,cvc-612_465.tif
cvc-300_223.bmp,cvc-300_223.bmp
cvc-612_537.bmp,cvc-612_537.tif
cvc-300_243.bmp,cvc-300_243.bmp
cvc-612_385.bmp,cvc-612_385.tif
cvc-300_4.bmp,cvc-300_4.bmp
cvc-300_27.bmp,cvc-300_27.bmp
cvc-612_309.bmp,cvc-612_309.tif
cvc-612_199.bmp,cvc-612_199.tif
cvc-612_395.bmp,cvc-612_395.tif
cvc-300_244.bmp,cvc-300_244.bmp
cvc-612_454.bmp,cvc-612_454.tif
cvc-612_293.bmp,cvc-612_293.tif
cvc-300_30.bmp,cvc-300_30.bmp
cvc-612_301.bmp,cvc-612_301.tif
cvc-612_463.bmp,cvc-612_463.tif
cvc-300_236.bmp,cvc-300_236.bmp
cvc-300_110.bmp,cvc-300_110.bmp
cvc-300_63.bmp,cvc-300_63.bmp
cvc-612_215.bmp,cvc-612_215.tif
cvc-612_500.bmp,cvc-612_500.tif
cvc-300_250.bmp,cvc-300_250.bmp
cvc-612_563.bmp,cvc-612_563.tif
cvc-612_503.bmp,cvc-612_503.tif
cvc-612_600.bmp,cvc-612_600.tif
cvc-612_538.bmp,cvc-612_538.tif
cvc-612_46.bmp,cvc-612_46.tif
cvc-612_226.bmp,cvc-612_226.tif
cvc-612_205.bmp,cvc-612_205.tif
cvc-300_259.bmp,cvc-300_259.bmp
cvc-300_26.bmp,cvc-300_26.bmp
cvc-300_2.bmp,cvc-300_2.bmp
cvc-612_254.bmp,cvc-612_254.tif
cvc-612_453.bmp,cvc-612_453.tif
cvc-612_194.bmp,cvc-612_194.tif
cvc-612_265.bmp,cvc-612_265.tif
cvc-300_241.bmp,cvc-300_241.bmp
cvc-300_235.bmp,cvc-300_235.bmp
cvc-300_130.bmp,cvc-300_130.bmp
cvc-612_591.bmp,cvc-612_591.tif
cvc-612_304.bmp,cvc-612_304.tif
